Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
126,126,Tuesday Aug 23,boxscore,OAK,,CLE,W,9,1,,54-72,4,19.0,Manaea,Salazar,,2:43,N,13141,+
127,127,Wednesday Aug 24,boxscore,OAK,,CLE,W,5,1,,55-72,4,19.0,Graveman,Bauer,,2:37,D,12795,++
128,128,Friday Aug 26,boxscore,OAK,@,STL,L,1,3,,55-73,4,19.5,Weaver,Detwiler,Oh,2:26,N,40221,-
129,129,Saturday Aug 27,boxscore,OAK,@,STL,W,3,2,,56-73,4,19.5,Coulombe,Bowman,Madson,2:52,N,41607,+
130,130,Sunday Aug 28,boxscore,OAK,@,STL,W,7,4,,57-73,4,19.5,Triggs,Garcia,Madson,2:43,D,42239,++
131,131,Monday Aug 29,boxscore,OAK,@,HOU,L,0,6,,57-74,4,20.5,Musgrove,Manaea,,2:45,N,18613,-
132,132,Tuesday Aug 30,boxscore,OAK,@,HOU,L,1,3,,57-75,5,21.5,McHugh,Graveman,Giles,2:28,N,23114,--
133,133,Wednesday Aug 31,boxscore,OAK,@,HOU,L,3,4,,57-76,5,22.5,Feliz,Hendriks,Giles,2:43,D,20033,---
134,134,Friday Sep 2,boxscore,OAK,,BOS,L,2,16,,57-77,5,23.5,Price,Neal,,3:27,N,21376,----
135,135,Saturday Sep 3,boxscore,OAK,,BOS,L,2,11,,57-78,5,24.5,Porcello,Mengden,,3:00,N,30045,-----
136,136,Sunday Sep 4,boxscore,OAK,,BOS,W-wo,1,0,,58-78,5,23.5,Madson,Kimbrel,,2:39,D,25139,+
137,137,Monday Sep 5,boxscore,OAK,,LAA,L,7,10,,58-79,5,23.5,Valdez,Alcantara,Bailey,3:44,D,18149,-
138,138,Tuesday Sep 6,boxscore,OAK,,LAA,W,3,2,,59-79,5,23.5,Axford,Nolasco,Madson,2:14,N,12298,+
139,139,Wednesday Sep 7,boxscore,OAK,,LAA,W,4,1,,60-79,5,22.5,Cotton,Meyer,Madson,3:11,D,11866,++
140,140,Friday Sep 9,boxscore,OAK,,SEA,L,2,3,,60-80,5,23.0,Iwakuma,Mengden,Diaz,2:59,N,19385,-
141,141,Saturday Sep 10,boxscore,OAK,,SEA,L,3,14,,60-81,5,24.0,Hernandez,Graveman,,3:03,D,18438,--
142,142,Sunday Sep 11,boxscore,OAK,,SEA,L,2,3,,60-82,5,24.0,Cishek,Madson,Diaz,2:52,D,13610,---
143,143,Monday Sep 12,boxscore,OAK,@,KCR,W,16,3,,61-82,5,24.0,Coulombe,Gee,Neal,3:23,N,31061,+
144,144,Tuesday Sep 13,boxscore,OAK,@,KCR,W,5,4,,62-82,5,24.0,Axford,Strahm,Madson,2:56,N,29523,++
145,145,Wednesday Sep 14,boxscore,OAK,@,KCR,W,8,0,,63-82,4,23.0,Manaea,Ventura,,2:56,N,30006,+++
